Rank,Pokemon,Usage%,Raw,%,Real,%,
1,Landorus-Therian,21.90239%,437943,16.944%,377079,18.640%,
2,Rotom-Wash,18.96041%,420116,16.254%,357893,17.691%,
3,Heatran,18.31457%,384789,14.887%,324573,16.044%,
4,Ferrothorn,17.31039%,416875,16.129%,361715,17.880%,
5,Talonflame,15.17562%,365457,14.139%,278701,13.777%,
6,Latios,14.11259%,297159,11.497%,216676,10.711%,
7,Bisharp,13.26372%,286642,11.090%,211598,10.460%,
8,Scizor,13.17432%,302160,11.690%,238170,11.773%,
9,Azumarill,13.16153%,317514,12.285%,250505,12.383%,
10,Gengar,11.64937%,307339,11.891%,226794,11.211%,
11,Keldeo,11.34169%,224177,8.673%,172951,8.549%,
12,Clefable,10.97678%,236523,9.151%,185744,9.182%,
13,Charizard,10.75299%,307000,11.878%,240259,11.876%,
14,Latias,10.56474%,215883,8.352%,155637,7.693%,
15,Metagross,10.28441%,247877,9.590%,191207,9.452%,
16,Garchomp,10.06810%,262449,10.154%,205210,10.144%,
17,Excadrill,9.83225%,227282,8.793%,170258,8.416%,
18,Tyranitar,9.48015%,226530,8.764%,181449,8.969%,
19,Slowbro,9.35985%,215755,8.348%,171908,8.498%,
20,Skarmory,8.38849%,200044,7.740%,171233,8.464%,
21,Conkeldurr,8.37900%,209831,8.118%,164992,8.156%,
22,Sylveon,8.33655%,209198,8.094%,158279,7.824%,
23,Gliscor,8.18074%,228206,8.829%,178803,8.839%,
24,Dragonite,8.00298%,227619,8.807%,164683,8.141%,
25,Sableye,7.73114%,204751,7.922%,172948,8.549%,
26,Breloom,7.70853%,203562,7.876%,154842,7.654%,
27,Lopunny,7.57704%,172809,6.686%,143353,7.086%,
28,Gyarados,7.04499%,168750,6.529%,134289,6.638%,
29,Thundurus,6.63019%,136188,5.269%,106522,5.266%,
30,Chansey,6.49912%,158730,6.141%,119770,5.920%,
31,Magnezone,6.20574%,147034,5.689%,116662,5.767%,
32,Venusaur,5.91128%,159342,6.165%,124712,6.165%,
33,Gardevoir,5.79002%,161989,6.267%,120626,5.963%,
34,Gallade,5.57070%,150096,5.807%,109874,5.431%,
35,Manectric,4.69209%,113477,4.390%,92178,4.557%,
36,Mamoswine,4.62448%,113504,4.391%,93682,4.631%,
37,Altaria,4.58386%,113800,4.403%,86175,4.260%,
38,Landorus,4.57504%,88562,3.426%,67863,3.355%,
39,Greninja,4.40055%,113714,4.400%,85027,4.203%,
40,Serperior,4.32458%,110183,4.263%,85756,4.239%,
41,Zapdos,4.28429%,100152,3.875%,80402,3.974%,
42,Mew,4.18599%,97255,3.763%,79971,3.953%,
43,Volcarona,4.12376%,112224,4.342%,82921,4.099%,
44,Mandibuzz,3.77159%,86197,3.335%,67538,3.339%,
45,Togekiss,3.69378%,113536,4.393%,86194,4.261%,
46,Raikou,3.48996%,71034,2.748%,56866,2.811%,
47,Diancie,3.22875%,69831,2.702%,56338,2.785%,
48,Swampert,3.22613%,96373,3.729%,79071,3.909%,
49,Starmie,3.21971%,74996,2.902%,56930,2.814%,
